Study level 1	Study level 2	Study level 3	Name	Image	LayerData	L10_23s	L10_pre	L10_total	L11_total	L12_total	L13_total	lesion_ count	lobe_23s	lobe_pre	lobe_total	L11_23s	L11_pre	L12_23s	L12_pre	L13_23s	L13_pre	cells_total_all_granulomas	cells_total_granuloma	Cy5_all_granulomas_percent	Cy5_cells_all_granulomas	Cy5_cells_granuloma	Cy5_granuloma_percent - Cy5_granuloma_percent	DAPI_cells_all_granulomas	DAPI_cells_granuloma	object_info - ROIType	object_info - ROIName	object_info - Envelope	TRITC_all_granulomas_percent	TRITC_cells_all_granulomas	TRITC_cells_granuloma	TRITC_granuloma_percent - TRITC_granuloma_percent	lobe_23s_1	lobe_DAPI_1	lobe_pre_1	lobe_total_mtb_1	L01_23s	L01_DAPI	L01_pre	L01_total	L02_23s	L02_DAPI	L02_pre	L02_total	L03_23s	L03_DAPI	L03_pre	L03_total	L04_23s	L04_DAPI	L04_pre	L04_total	L05_23s	L05_DAPI	L05_pre	L05_total	L06_23s	L06_DAPI	L06_pre	L06_total	L07_23s	L07_DAPI	L07_pre	L07_total	L08_23s	L08_DAPI	L08_pre	L08_total	L09_23s	L09_DAPI	L09_pre	L09_total	L10_DAPI	L11_DAPI	L12_DAPI	L13_DAPI	L14_23s	L14_DAPI	L14_pre	L14_total	lesion_count	total_DAPI
Sarah Cooper	Final RS Ratio Data	BCG17	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses716_61871_Result.mld	0	0	0	0	0	0	3	1283	109	1392	0	0	0	0	0	0	28781	7777	2878100	0	0	0	28377	7637				0.382196588	110	30	0.385752861	1279	31199	109	1388	428	8634	30	458	426	10087	37	463	429	12862	42	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	31583
Sarah Cooper	Final RS Ratio Data	BCG17	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses716_61871_Result.mld	0	0	0	0	0	0	3	1283	109	1392	0	0	0	0	0	0	28781	9115	2878100	0	0	0	28377	8986				0.382196588	110	36	0.394953374	1279	31199	109	1388	428	8634	30	458	426	10087	37	463	429	12862	42	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	31583
Sarah Cooper	Final RS Ratio Data	BCG17	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses716_61871_Result.mld	0	0	0	0	0	0	3	1283	109	1392	0	0	0	0	0	0	28781	11889	2878100	0	0	0	28377	11754				0.382196588	110	44	0.370089999	1279	31199	109	1388	428	8634	30	458	426	10087	37	463	429	12862	42	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	31583
Sarah Cooper	Final RS Ratio Data	BCG18	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses717_61873_Result.mld	0	0	0	0	0	0	8	2227	228	2455	0	0	0	0	0	0																2228	45967	228	2456	712	11987	87	799	183	4340	1	184	226	9033	25	251	169	2030	16	185	348	5018	42	390	511	10555	52	563	54	2699	3	57	24	789	2	26	0	0	0	0	0	0	0	0	0	0	0	0	34	46451
Sarah Cooper	Final RS Ratio Data	BCG19	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses718_61875_Result.mld	0	0	0	0	0	0	2	403	28	431	0	0	0	0	0	0																402	25056	28	430	211	11856	13	224	192	13468	15	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	25324
Sarah Cooper	Final RS Ratio Data	BCG20	17	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D114 17-20 23s(F) pre(T)_05_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2151\ses719_61877_Result.mld	485	49	534	366	220	330	13	2833	218	3051	347	19	209	11	314	16																2829	37361	217	3046	57	1389	3	60	68	843	7	75	22	362	1	23	139	2379	13	152	215	1625	22	237	134	3177	8	142	212	3046	15	227	296	2093	36	332	335	6077	18	353	6002	5297	1914	3634	0	0	0	0	47	37830
Sarah Cooper	Final RS Ratio Data	BCG14	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses710_68682_Result.mld	0	0	0	0	0	0	4	392	30	422	0	0	0	0	0	0	7648	742	764800	0	0	0	7505	730				0.353033473	27	2	0.269541779	390	8893	30	420	24	886	2	26	17	805	2	19	58	4400	10	68	293	2985	16	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9076
Sarah Cooper	Final RS Ratio Data	BCG14	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses710_68682_Result.mld	0	0	0	0	0	0	4	392	30	422	0	0	0	0	0	0	7648	701	764800	0	0	0	7505	694				0.353033473	27	2	0.285306705	390	8893	30	420	24	886	2	26	17	805	2	19	58	4400	10	68	293	2985	16	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9076
Sarah Cooper	Final RS Ratio Data	BCG14	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses710_68682_Result.mld	0	0	0	0	0	0	4	392	30	422	0	0	0	0	0	0	7648	3623	764800	0	0	0	7505	3608				0.353033473	27	9	0.248412917	390	8893	30	420	24	886	2	26	17	805	2	19	58	4400	10	68	293	2985	16	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9076
Sarah Cooper	Final RS Ratio Data	BCG14	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses710_68682_Result.mld	0	0	0	0	0	0	4	392	30	422	0	0	0	0	0	0	7648	2582	764800	0	0	0	7505	2473				0.353033473	27	14	0.542215337	390	8893	30	420	24	886	2	26	17	805	2	19	58	4400	10	68	293	2985	16	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9076
